192.168.1.14,192.168.1.14,51353,5355,55,1
192.168.2.10,192.168.2.10,2919,51049,46,1
192.168.3.131,192.168.3.131,51049,2919,52,1
192.168.1.14,192.168.1.14,60853,5355,55,1
192.168.2.10,192.168.2.10,2711,51053,46,1
192.168.3.131,192.168.3.131,51053,2711,52,1
192.168.1.14,192.168.1.14,54787,5355,55,1
192.168.0.14,192.168.0.14,54096,5355,55,1
192.168.1.14,192.168.1.14,59192,5355,58,1
192.168.0.14,192.168.0.14,60179,5355,110,2
192.168.0.176,192.168.0.176,138,138,229,1
192.168.1.11,192.168.1.11,53263,5355,110,2
192.168.1.11,192.168.1.11,56213,5355,110,2
192.168.1.11,192.168.1.11,50305,5355,110,2
192.168.1.11,192.168.1.11,64409,5355,110,2
192.168.2.10,192.168.2.10,2919,51058,46,1
192.168.2.10,192.168.2.10,2711,51062,46,1
192.168.3.131,192.168.3.131,51062,2711,52,1
192.168.1.231,192.168.1.231,1025,161,212,2
192.168.1.11,192.168.1.11,62951,5355,110,2
192.168.1.11,192.168.1.11,51048,5355,55,1
192.168.2.10,192.168.2.10,2503,51168,46,1
192.168.3.131,192.168.3.131,51168,2503,52,1
192.168.1.11,192.168.1.11,64032,5355,110,2
192.168.1.11,192.168.1.11,64509,5355,110,2
192.168.2.10,192.168.2.10,2919,51171,46,1
192.168.3.131,192.168.3.131,51171,2919,52,1
192.168.2.10,192.168.2.10,2711,51178,46,1
192.168.1.231,192.168.1.231,1735,427,72,1
192.168.1.231,192.168.1.231,1025,161,424,4
192.168.2.10,192.168.2.10,2503,51159,46,1
192.168.3.131,192.168.3.131,51159,2503,52,1
192.168.1.251,192.168.1.251,138,138,241,1
192.168.0.174,192.168.0.174,58922,5355,51,1
192.168.2.10,192.168.2.10,2919,51163,46,1
192.168.0.14,192.168.0.14,137,137,78,1
192.168.2.10,192.168.2.10,2711,51165,46,1
192.168.3.131,192.168.3.131,51165,2711,52,1
192.168.2.10,192.168.2.10,2503,51076,46,1
192.168.3.131,192.168.3.131,51076,2503,52,1
192.168.1.11,192.168.1.11,60068,5355,110,2
192.168.1.11,192.168.1.11,58889,5355,55,1
192.168.1.11,192.168.1.11,62850,5355,55,1
192.168.1.11,192.168.1.11,52492,5355,110,2
192.168.2.10,192.168.2.10,2919,51081,46,1
192.168.3.131,192.168.3.131,51081,2919,52,1
192.168.2.10,192.168.2.10,2711,51086,46,1
192.168.3.131,192.168.3.131,51086,2711,52,1
192.168.2.10,192.168.2.10,2503,51067,46,1
192.168.3.131,192.168.3.131,51067,2503,52,1
192.168.1.250,192.168.1.250,138,138,238,1
192.168.1.182,192.168.1.182,138,138,264,1
192.168.0.178,192.168.0.178,138,138,229,1
192.168.2.10,192.168.2.10,2919,51071,46,1
192.168.0.14,192.168.0.14,138,138,238,1
192.168.2.10,192.168.2.10,2711,51074,46,1
192.168.3.131,192.168.3.131,51074,2711,52,1
192.168.1.11,192.168.1.11,60613,5355,110,2
192.168.1.11,192.168.1.11,54599,5355,110,2
192.168.2.10,192.168.2.10,2919,51092,46,1
192.168.3.131,192.168.3.131,51092,2919,52,1
192.168.2.10,192.168.2.10,2919,51105,46,1
192.168.3.131,192.168.3.131,51105,2919,52,1
192.168.2.10,192.168.2.10,2711,51109,46,1
192.168.3.131,192.168.3.131,51109,2711,52,1
192.168.0.14,192.168.0.14,53833,5355,110,2
192.168.2.10,192.168.2.10,2711,51095,46,1
192.168.3.131,192.168.3.131,51095,2711,52,1
192.168.1.11,192.168.1.11,62807,5355,55,1
192.168.1.11,192.168.1.11,53161,5355,110,2
192.168.1.11,192.168.1.11,64418,5355,110,2
192.168.1.11,192.168.1.11,61267,5355,55,1
192.168.2.10,192.168.2.10,2503,51099,46,1
192.168.1.11,192.168.1.11,63043,5355,110,2
192.168.0.14,192.168.0.14,58106,5355,110,2
192.168.2.10,192.168.2.10,2503,51203,46,1
192.168.3.131,192.168.3.131,51203,2503,52,1
192.168.2.10,192.168.2.10,2711,51211,46,1
192.168.1.11,192.168.1.11,49324,5355,110,2
192.168.1.11,192.168.1.11,49467,5355,110,2
192.168.1.11,192.168.1.11,56637,5355,55,1
192.168.1.11,192.168.1.11,51846,5355,110,2
192.168.2.10,192.168.2.10,2503,51216,46,1
192.168.2.10,192.168.2.10,2919,51218,46,1
192.168.3.131,192.168.3.131,51218,2919,52,1
192.168.2.10,192.168.2.10,2711,51222,46,1
192.168.3.131,192.168.3.131,51222,2711,52,1
192.168.2.10,192.168.2.10,2919,51206,46,1
192.168.3.131,192.168.3.131,51206,2919,52,1
192.168.0.14,192.168.0.14,50135,5355,110,2
192.168.0.14,192.168.0.14,61341,5355,110,2
192.168.1.11,192.168.1.11,56081,5355,110,2
192.168.2.10,192.168.2.10,2711,51131,46,1
192.168.2.10,192.168.2.10,2503,51111,46,1
192.168.2.10,192.168.2.10,2711,51120,46,1
192.168.3.131,192.168.3.131,51120,2711,52,1
192.168.2.10,192.168.2.10,2503,51124,46,1
192.168.3.131,192.168.3.131,51125,80,104,2
209.124.184.134,209.124.184.134,80,51125,92,2
192.168.1.11,192.168.1.11,53452,5355,110,2
192.168.1.11,192.168.1.11,50827,5355,55,1
192.168.3.131,192.168.3.131,51126,80,52,1
209.124.184.143,209.124.184.143,80,51126,46,1
192.168.2.10,192.168.2.10,2503,51225,46,1
192.168.3.131,192.168.3.131,51225,2503,52,1
192.168.1.11,192.168.1.11,64022,5355,110,2
192.168.1.11,192.168.1.11,63450,5355,110,2
192.168.1.11,192.168.1.11,61283,5355,110,2
192.168.2.10,192.168.2.10,2503,51236,46,1
192.168.3.131,192.168.3.131,51236,2503,52,1
192.168.2.10,192.168.2.10,2919,51240,46,1
192.168.0.14,192.168.0.14,137,137,312,4
192.168.2.10,192.168.2.10,2711,51400,46,1
192.168.1.231,192.168.1.231,1025,161,106,1
192.168.2.10,192.168.2.10,2503,51405,46,1
192.168.3.131,192.168.3.131,51405,2503,52,1
192.168.0.10,192.168.0.10,137,137,624,8
192.168.0.14,192.168.0.14,50916,5355,55,1
192.168.0.14,192.168.0.14,52124,5355,104,2
192.168.0.14,192.168.0.14,61029,5355,104,2
192.168.0.14,192.168.0.14,138,138,238,1
192.168.0.14,192.168.0.14,62483,5355,110,2
192.168.2.10,192.168.2.10,2919,51409,46,1
192.168.2.10,192.168.2.10,2711,51412,46,1
192.168.3.131,192.168.3.131,51412,2711,52,1
192.168.1.11,192.168.1.11,56480,5355,55,1
192.168.1.11,192.168.1.11,60826,5355,55,1
192.168.1.11,192.168.1.11,52087,5355,110,2
192.168.1.11,192.168.1.11,61430,5355,110,2
192.168.0.174,192.168.0.174,138,138,464,2
192.168.2.10,192.168.2.10,2503,51414,46,1
192.168.3.131,192.168.3.131,51414,2503,52,1
192.168.3.150,192.168.3.150,0,2304,46,1
192.168.2.10,192.168.2.10,2919,51418,46,1
192.168.1.231,192.168.1.231,1740,427,72,1
192.168.2.10,192.168.2.10,2503,51381,46,1
192.168.0.14,192.168.0.14,49363,5355,110,2
