Destination Address,,,
Total number of records: 243898,,,
Key,# Records,Probability (count/totalcount),Entropy (-log_2(probability)))
50048,27,0.000110702,13.1410309
50654,27,0.000110702,13.1410309
49839,27,0.000110702,13.1410309
49807,27,0.000110702,13.1410309
51021,27,0.000110702,13.1410309
50655,26,0.000106602,13.19547868
49937,26,0.000106602,13.19547868
49777,26,0.000106602,13.19547868
49798,26,0.000106602,13.19547868
49995,26,0.000106602,13.19547868
49860,26,0.000106602,13.19547868
54654,26,0.000106602,13.19547868
54429,26,0.000106602,13.19547868
59247,26,0.000106602,13.19547868
60343,26,0.000106602,13.19547868
49870,26,0.000106602,13.19547868
50050,26,0.000106602,13.19547868
49990,26,0.000106602,13.19547868
50107,26,0.000106602,13.19547868
49739,26,0.000106602,13.19547868
50463,26,0.000106602,13.19547868
49701,25,0.000102502,13.25206221
50003,25,0.000102502,13.25206221
57123,25,0.000102502,13.25206221
49849,25,0.000102502,13.25206221
54864,25,0.000102502,13.25206221
49986,25,0.000102502,13.25206221
50301,25,0.000102502,13.25206221
53175,25,0.000102502,13.25206221
51361,25,0.000102502,13.25206221
49823,25,0.000102502,13.25206221
49751,25,0.000102502,13.25206221
56246,25,0.000102502,13.25206221
50280,25,0.000102502,13.25206221
50661,25,0.000102502,13.25206221
54125,25,0.000102502,13.25206221
49690,25,0.000102502,13.25206221
51551,25,0.000102502,13.25206221
61111,25,0.000102502,13.25206221
49789,25,0.000102502,13.25206221
49911,25,0.000102502,13.25206221
50841,25,0.000102502,13.25206221
50023,25,0.000102502,13.25206221
55907,25,0.000102502,13.25206221
50527,25,0.000102502,13.25206221
49689,25,0.000102502,13.25206221
56805,24,9.84E-05,13.3109559
49831,24,9.84E-05,13.3109559
54879,24,9.84E-05,13.3109559
49851,24,9.84E-05,13.3109559
50947,24,9.84E-05,13.3109559
52706,24,9.84E-05,13.3109559
49930,24,9.84E-05,13.3109559
50102,24,9.84E-05,13.3109559
50875,24,9.84E-05,13.3109559
49956,24,9.84E-05,13.3109559
49711,24,9.84E-05,13.3109559
50543,24,9.84E-05,13.3109559
49753,24,9.84E-05,13.3109559
49712,24,9.84E-05,13.3109559
54462,24,9.84E-05,13.3109559
50806,24,9.84E-05,13.3109559
51265,24,9.84E-05,13.3109559
50002,24,9.84E-05,13.3109559
49947,24,9.84E-05,13.3109559
50313,24,9.84E-05,13.3109559
52429,24,9.84E-05,13.3109559
50172,24,9.84E-05,13.3109559
50291,24,9.84E-05,13.3109559
52392,24,9.84E-05,13.3109559
51179,24,9.84E-05,13.3109559
49264,24,9.84E-05,13.3109559
50167,24,9.84E-05,13.3109559
49988,24,9.84E-05,13.3109559
51377,24,9.84E-05,13.3109559
49580,24,9.84E-05,13.3109559
53321,24,9.84E-05,13.3109559
50389,24,9.84E-05,13.3109559
50467,24,9.84E-05,13.3109559
49788,24,9.84E-05,13.3109559
51164,24,9.84E-05,13.3109559
49951,24,9.84E-05,13.3109559
51012,24,9.84E-05,13.3109559
59217,24,9.84E-05,13.3109559
50083,24,9.84E-05,13.3109559
51007,23,9.43E-05,13.37235645
49927,23,9.43E-05,13.37235645
59037,23,9.43E-05,13.37235645
55252,23,9.43E-05,13.37235645
49884,23,9.43E-05,13.37235645
51037,23,9.43E-05,13.37235645
59869,23,9.43E-05,13.37235645
55384,23,9.43E-05,13.37235645
49804,23,9.43E-05,13.37235645
62798,23,9.43E-05,13.37235645
57672,23,9.43E-05,13.37235645
50976,23,9.43E-05,13.37235645
50000,23,9.43E-05,13.37235645
49663,23,9.43E-05,13.37235645
56739,23,9.43E-05,13.37235645
49704,23,9.43E-05,13.37235645
49285,23,9.43E-05,13.37235645
51055,23,9.43E-05,13.37235645
51462,23,9.43E-05,13.37235645
50406,23,9.43E-05,13.37235645
8089,23,9.43E-05,13.37235645
49761,23,9.43E-05,13.37235645
50440,23,9.43E-05,13.37235645
53215,23,9.43E-05,13.37235645
51711,23,9.43E-05,13.37235645
50667,23,9.43E-05,13.37235645
52308,23,9.43E-05,13.37235645
56874,23,9.43E-05,13.37235645
50408,23,9.43E-05,13.37235645
49256,23,9.43E-05,13.37235645
53657,23,9.43E-05,13.37235645
50438,23,9.43E-05,13.37235645
58686,23,9.43E-05,13.37235645
50990,23,9.43E-05,13.37235645
50750,23,9.43E-05,13.37235645
49776,23,9.43E-05,13.37235645
49692,23,9.43E-05,13.37235645
50759,23,9.43E-05,13.37235645
50070,23,9.43E-05,13.37235645
50039,23,9.43E-05,13.37235645
59671,23,9.43E-05,13.37235645
55518,23,9.43E-05,13.37235645
63620,23,9.43E-05,13.37235645
50361,23,9.43E-05,13.37235645
53085,23,9.43E-05,13.37235645
50132,23,9.43E-05,13.37235645
49843,23,9.43E-05,13.37235645
62148,23,9.43E-05,13.37235645
49741,23,9.43E-05,13.37235645
51301,23,9.43E-05,13.37235645
50991,23,9.43E-05,13.37235645
49970,23,9.43E-05,13.37235645
61915,23,9.43E-05,13.37235645
49418,23,9.43E-05,13.37235645
53256,23,9.43E-05,13.37235645
51926,23,9.43E-05,13.37235645
64032,23,9.43E-05,13.37235645
50008,23,9.43E-05,13.37235645
49859,23,9.43E-05,13.37235645
53170,23,9.43E-05,13.37235645
56768,23,9.43E-05,13.37235645
49819,23,9.43E-05,13.37235645
50358,23,9.43E-05,13.37235645
59691,23,9.43E-05,13.37235645
49746,23,9.43E-05,13.37235645
57592,23,9.43E-05,13.37235645
50619,23,9.43E-05,13.37235645
49375,23,9.43E-05,13.37235645
49332,23,9.43E-05,13.37235645
50859,23,9.43E-05,13.37235645
55608,23,9.43E-05,13.37235645
50689,23,9.43E-05,13.37235645
60713,23,9.43E-05,13.37235645
49724,23,9.43E-05,13.37235645
50573,23,9.43E-05,13.37235645
50839,23,9.43E-05,13.37235645
50357,23,9.43E-05,13.37235645
49802,23,9.43E-05,13.37235645
65376,22,9.02E-05,13.43648678
51040,22,9.02E-05,13.43648678
60673,22,9.02E-05,13.43648678
50097,22,9.02E-05,13.43648678
57742,22,9.02E-05,13.43648678
53026,22,9.02E-05,13.43648678
55714,22,9.02E-05,13.43648678
59866,22,9.02E-05,13.43648678
50956,22,9.02E-05,13.43648678
55315,22,9.02E-05,13.43648678
65068,22,9.02E-05,13.43648678
51254,22,9.02E-05,13.43648678
51452,22,9.02E-05,13.43648678
49708,22,9.02E-05,13.43648678
49969,22,9.02E-05,13.43648678
60700,22,9.02E-05,13.43648678
51592,22,9.02E-05,13.43648678
50059,22,9.02E-05,13.43648678
49965,22,9.02E-05,13.43648678
50058,22,9.02E-05,13.43648678
52420,22,9.02E-05,13.43648678
49326,22,9.02E-05,13.43648678
60749,22,9.02E-05,13.43648678
49933,22,9.02E-05,13.43648678
52417,22,9.02E-05,13.43648678
51674,22,9.02E-05,13.43648678
49400,22,9.02E-05,13.43648678
49736,22,9.02E-05,13.43648678
60924,22,9.02E-05,13.43648678
51128,22,9.02E-05,13.43648678
52886,22,9.02E-05,13.43648678
51661,22,9.02E-05,13.43648678
49811,22,9.02E-05,13.43648678
58177,22,9.02E-05,13.43648678
51060,22,9.02E-05,13.43648678
49981,22,9.02E-05,13.43648678
52028,22,9.02E-05,13.43648678
51414,22,9.02E-05,13.43648678
51290,22,9.02E-05,13.43648678
55596,22,9.02E-05,13.43648678
63084,22,9.02E-05,13.43648678
60931,22,9.02E-05,13.43648678
51811,22,9.02E-05,13.43648678
51062,22,9.02E-05,13.43648678
49787,22,9.02E-05,13.43648678
50013,22,9.02E-05,13.43648678
50037,22,9.02E-05,13.43648678
52888,22,9.02E-05,13.43648678
49821,22,9.02E-05,13.43648678
55401,22,9.02E-05,13.43648678
51360,22,9.02E-05,13.43648678
54712,22,9.02E-05,13.43648678
50497,22,9.02E-05,13.43648678
51864,22,9.02E-05,13.43648678
51015,22,9.02E-05,13.43648678
51735,22,9.02E-05,13.43648678
55922,22,9.02E-05,13.43648678
60885,22,9.02E-05,13.43648678
50056,22,9.02E-05,13.43648678
50927,22,9.02E-05,13.43648678
61788,22,9.02E-05,13.43648678
49706,22,9.02E-05,13.43648678
49857,22,9.02E-05,13.43648678
60620,22,9.02E-05,13.43648678
53716,22,9.02E-05,13.43648678
61101,22,9.02E-05,13.43648678
49994,22,9.02E-05,13.43648678
49269,22,9.02E-05,13.43648678
58603,22,9.02E-05,13.43648678
55273,22,9.02E-05,13.43648678
50651,22,9.02E-05,13.43648678
51275,22,9.02E-05,13.43648678
50434,22,9.02E-05,13.43648678
51280,22,9.02E-05,13.43648678
50275,22,9.02E-05,13.43648678
53984,22,9.02E-05,13.43648678
56169,22,9.02E-05,13.43648678
54728,22,9.02E-05,13.43648678
50001,22,9.02E-05,13.43648678
54646,22,9.02E-05,13.43648678
50218,22,9.02E-05,13.43648678
51790,22,9.02E-05,13.43648678
49982,22,9.02E-05,13.43648678
58431,22,9.02E-05,13.43648678
49281,22,9.02E-05,13.43648678
50471,22,9.02E-05,13.43648678
51086,22,9.02E-05,13.43648678
65014,22,9.02E-05,13.43648678
50503,22,9.02E-05,13.43648678
50401,22,9.02E-05,13.43648678
49960,22,9.02E-05,13.43648678
57451,22,9.02E-05,13.43648678
51789,22,9.02E-05,13.43648678
57856,22,9.02E-05,13.43648678
49902,22,9.02E-05,13.43648678
65232,22,9.02E-05,13.43648678
49373,22,9.02E-05,13.43648678
50079,22,9.02E-05,13.43648678
56629,22,9.02E-05,13.43648678
52569,22,9.02E-05,13.43648678
54446,22,9.02E-05,13.43648678
49240,22,9.02E-05,13.43648678
49882,22,9.02E-05,13.43648678
60293,22,9.02E-05,13.43648678
51978,22,9.02E-05,13.43648678
49892,22,9.02E-05,13.43648678
50504,21,8.61E-05,13.50360098
63455,21,8.61E-05,13.50360098
50104,21,8.61E-05,13.50360098
49896,21,8.61E-05,13.50360098
59039,21,8.61E-05,13.50360098
52755,21,8.61E-05,13.50360098
63798,21,8.61E-05,13.50360098
60034,21,8.61E-05,13.50360098
63025,21,8.61E-05,13.50360098
49825,21,8.61E-05,13.50360098
58606,21,8.61E-05,13.50360098
53236,21,8.61E-05,13.50360098
51944,21,8.61E-05,13.50360098
50183,21,8.61E-05,13.50360098
60466,21,8.61E-05,13.50360098
58345,21,8.61E-05,13.50360098
49250,21,8.61E-05,13.50360098
50113,21,8.61E-05,13.50360098
49876,21,8.61E-05,13.50360098
60646,21,8.61E-05,13.50360098
49968,21,8.61E-05,13.50360098
49757,21,8.61E-05,13.50360098
53983,21,8.61E-05,13.50360098
54906,21,8.61E-05,13.50360098
50031,21,8.61E-05,13.50360098
52531,21,8.61E-05,13.50360098
56752,21,8.61E-05,13.50360098
50829,21,8.61E-05,13.50360098
56698,21,8.61E-05,13.50360098
57952,21,8.61E-05,13.50360098
51370,21,8.61E-05,13.50360098
56227,21,8.61E-05,13.50360098
64076,21,8.61E-05,13.50360098
63494,21,8.61E-05,13.50360098
49606,21,8.61E-05,13.50360098
51324,21,8.61E-05,13.50360098
54842,21,8.61E-05,13.50360098
57809,21,8.61E-05,13.50360098
57940,21,8.61E-05,13.50360098
56101,21,8.61E-05,13.50360098
59763,21,8.61E-05,13.50360098
51510,21,8.61E-05,13.50360098
61133,21,8.61E-05,13.50360098
51569,21,8.61E-05,13.50360098
54521,21,8.61E-05,13.50360098
50772,21,8.61E-05,13.50360098
57230,21,8.61E-05,13.50360098
50894,21,8.61E-05,13.50360098
52212,21,8.61E-05,13.50360098
54161,21,8.61E-05,13.50360098
57463,21,8.61E-05,13.50360098
60322,21,8.61E-05,13.50360098
56470,21,8.61E-05,13.50360098
50985,21,8.61E-05,13.50360098
60321,21,8.61E-05,13.50360098
59497,21,8.61E-05,13.50360098
49763,21,8.61E-05,13.50360098
63782,21,8.61E-05,13.50360098
52809,21,8.61E-05,13.50360098
55041,21,8.61E-05,13.50360098
51403,21,8.61E-05,13.50360098
58985,21,8.61E-05,13.50360098
49451,21,8.61E-05,13.50360098
58073,21,8.61E-05,13.50360098
49808,21,8.61E-05,13.50360098
56815,21,8.61E-05,13.50360098
50077,21,8.61E-05,13.50360098
49973,21,8.61E-05,13.50360098
50053,21,8.61E-05,13.50360098
62469,21,8.61E-05,13.50360098
51253,21,8.61E-05,13.50360098
49848,21,8.61E-05,13.50360098
52673,21,8.61E-05,13.50360098
51561,21,8.61E-05,13.50360098
62801,21,8.61E-05,13.50360098
58462,21,8.61E-05,13.50360098
57322,21,8.61E-05,13.50360098
57756,21,8.61E-05,13.50360098
49946,21,8.61E-05,13.50360098
57001,21,8.61E-05,13.50360098
59687,21,8.61E-05,13.50360098
50062,21,8.61E-05,13.50360098
59558,21,8.61E-05,13.50360098
61293,21,8.61E-05,13.50360098
50068,21,8.61E-05,13.50360098
65139,21,8.61E-05,13.50360098
50973,21,8.61E-05,13.50360098
55372,21,8.61E-05,13.50360098
61669,21,8.61E-05,13.50360098
59362,21,8.61E-05,13.50360098
49915,21,8.61E-05,13.50360098
49709,21,8.61E-05,13.50360098
51066,21,8.61E-05,13.50360098
51470,21,8.61E-05,13.50360098
50082,21,8.61E-05,13.50360098
51933,21,8.61E-05,13.50360098
60843,21,8.61E-05,13.50360098
50162,21,8.61E-05,13.50360098
51260,21,8.61E-05,13.50360098
51256,21,8.61E-05,13.50360098
50040,21,8.61E-05,13.50360098
62299,21,8.61E-05,13.50360098
55720,21,8.61E-05,13.50360098
55355,21,8.61E-05,13.50360098
50135,21,8.61E-05,13.50360098
49293,21,8.61E-05,13.50360098
62114,21,8.61E-05,13.50360098
49782,21,8.61E-05,13.50360098
52742,21,8.61E-05,13.50360098
51597,21,8.61E-05,13.50360098
52719,21,8.61E-05,13.50360098
55702,21,8.61E-05,13.50360098
53074,21,8.61E-05,13.50360098
50129,21,8.61E-05,13.50360098
50111,21,8.61E-05,13.50360098
51656,21,8.61E-05,13.50360098
51199,21,8.61E-05,13.50360098
63799,21,8.61E-05,13.50360098
50626,21,8.61E-05,13.50360098
50149,21,8.61E-05,13.50360098
55271,21,8.61E-05,13.50360098
52560,21,8.61E-05,13.50360098
50347,21,8.61E-05,13.50360098
56886,21,8.61E-05,13.50360098
49913,21,8.61E-05,13.50360098
49858,21,8.61E-05,13.50360098
49680,21,8.61E-05,13.50360098
64439,21,8.61E-05,13.50360098
50395,21,8.61E-05,13.50360098
50148,21,8.61E-05,13.50360098
51731,21,8.61E-05,13.50360098
49883,21,8.61E-05,13.50360098
53754,21,8.61E-05,13.50360098
59850,21,8.61E-05,13.50360098
52145,21,8.61E-05,13.50360098
50091,21,8.61E-05,13.50360098
58235,21,8.61E-05,13.50360098
49259,21,8.61E-05,13.50360098
60544,21,8.61E-05,13.50360098
50920,21,8.61E-05,13.50360098
53086,21,8.61E-05,13.50360098
50687,21,8.61E-05,13.50360098
57199,21,8.61E-05,13.50360098
64893,21,8.61E-05,13.50360098
51542,21,8.61E-05,13.50360098
50448,21,8.61E-05,13.50360098
57762,21,8.61E-05,13.50360098
50866,21,8.61E-05,13.50360098
54675,21,8.61E-05,13.50360098
50346,21,8.61E-05,13.50360098
50937,21,8.61E-05,13.50360098
55409,21,8.61E-05,13.50360098
50539,21,8.61E-05,13.50360098
50043,21,8.61E-05,13.50360098
51220,21,8.61E-05,13.50360098
54914,21,8.61E-05,13.50360098
49919,21,8.61E-05,13.50360098
57750,21,8.61E-05,13.50360098
51351,21,8.61E-05,13.50360098
57085,21,8.61E-05,13.50360098
57903,21,8.61E-05,13.50360098
50788,21,8.61E-05,13.50360098
65001,21,8.61E-05,13.50360098
54306,21,8.61E-05,13.50360098
50384,21,8.61E-05,13.50360098
52018,21,8.61E-05,13.50360098
51191,21,8.61E-05,13.50360098
57617,21,8.61E-05,13.50360098
50007,21,8.61E-05,13.50360098
57886,21,8.61E-05,13.50360098
50518,21,8.61E-05,13.50360098
56668,21,8.61E-05,13.50360098
56189,21,8.61E-05,13.50360098
50019,21,8.61E-05,13.50360098
61369,21,8.61E-05,13.50360098
51968,21,8.61E-05,13.50360098
50637,21,8.61E-05,13.50360098
50864,21,8.61E-05,13.50360098
50574,21,8.61E-05,13.50360098
50029,21,8.61E-05,13.50360098
49778,21,8.61E-05,13.50360098
50843,21,8.61E-05,13.50360098
51137,21,8.61E-05,13.50360098
53518,21,8.61E-05,13.50360098
57453,21,8.61E-05,13.50360098
63477,21,8.61E-05,13.50360098
61659,21,8.61E-05,13.50360098
50657,21,8.61E-05,13.50360098
50631,21,8.61E-05,13.50360098
50054,21,8.61E-05,13.50360098
58010,21,8.61E-05,13.50360098
50674,20,8.20E-05,13.57399031
50950,20,8.20E-05,13.57399031
59026,20,8.20E-05,13.57399031
50910,20,8.20E-05,13.57399031
59153,20,8.20E-05,13.57399031
50328,20,8.20E-05,13.57399031
