Destination Address,,,
Total number of records: 243898,,,
Key,# Records,Probability (count/totalcount),Entropy (-log_2(probability)))
192.168.2.2,98,0.000401807,11.28120856
0.0.0.0,64,0.000262405,11.8959184
192.168.1.71,32,0.000131202,12.8959184
169.254.148.116,23,9.43E-05,13.37235645
192.168.5.10,22,9.02E-05,13.43648678
192.168.3.144,18,7.38E-05,13.7259934
192.168.2.101,17,6.97E-05,13.80845556
192.168.4.10,17,6.97E-05,13.80845556
192.168.3.10,16,6.56E-05,13.8959184
192.168.6.10,14,5.74E-05,14.08856348
192.168.1.4,14,5.74E-05,14.08856348
192.168.7.10,13,5.33E-05,14.19547868
10.99.66.49,12,4.92E-05,14.3109559
134.121.93.236,12,4.92E-05,14.3109559
192.168.3.143,11,4.51E-05,14.43648678
192.168.1.72,11,4.51E-05,14.43648678
169.254.225.168,10,4.10E-05,14.57399031
192.168.2.107,10,4.10E-05,14.57399031
192.168.2.103,9,3.69E-05,14.7259934
192.168.2.102,9,3.69E-05,14.7259934
192.168.3.151,8,3.28E-05,14.8959184
192.168.2.108,8,3.28E-05,14.8959184
192.168.1.2,8,3.28E-05,14.8959184
192.168.2.106,7,2.87E-05,15.08856348
192.168.2.105,7,2.87E-05,15.08856348
192.168.2.104,7,2.87E-05,15.08856348
192.168.3.150,7,2.87E-05,15.08856348
169.254.51.70,5,2.05E-05,15.57399031
172.26.82.91,4,1.64E-05,15.8959184
10.0.1.251,4,1.64E-05,15.8959184
10.99.66.63,4,1.64E-05,15.8959184
104.154.127.99,4,1.64E-05,15.8959184
196.168.1.72,3,1.23E-05,16.3109559
209.124.184.143,2,8.20E-06,16.8959184
192.168.1.190,2,8.20E-06,16.8959184
209.124.184.134,2,8.20E-06,16.8959184
169.254.173.43,2,8.20E-06,16.8959184
192.168.1.54,2,8.20E-06,16.8959184
192.168.0.90,2,8.20E-06,16.8959184
192.168.3.120,2,8.20E-06,16.8959184
157.56.17.248,2,8.20E-06,16.8959184
192.168.1.51,2,8.20E-06,16.8959184
65.52.108.225,2,8.20E-06,16.8959184
192.168.1.125,1,4.10E-06,17.8959184
192.168.0.91,1,4.10E-06,17.8959184
132.245.51.2,1,4.10E-06,17.8959184
10.10.3.78,1,4.10E-06,17.8959184
132.245.58.98,1,4.10E-06,17.8959184
192.168.1.121,1,4.10E-06,17.8959184
204.79.197.200,1,4.10E-06,17.8959184
169.254.122.65,1,4.10E-06,17.8959184
132.245.92.34,1,4.10E-06,17.8959184
192.168.1.119,1,4.10E-06,17.8959184
131.253.34.255,1,4.10E-06,17.8959184
69.166.54.80,1,4.10E-06,17.8959184
104.215.198.144,1,4.10E-06,17.8959184
65.52.108.224,1,4.10E-06,17.8959184
132.245.36.34,1,4.10E-06,17.8959184
,,,
,,,
Destination Port,,,
Total number of records: 243898,,,
Key,# Records,Probability (count/totalcount),Entropy (-log_2(probability)))
5355,111367,0.45661301,1.130956128
102,28387,0.116388818,3.102975633
2711,20110,0.082452501,3.600292941
2919,19974,0.08189489,3.610082746
2503,19968,0.08187029,3.610516183
138,10454,0.04286218,4.544150958
80,7431,0.030467655,5.036577748
53,4199,0.017216213,5.860088329
5357,3220,0.01320224,6.243073429
443,2531,0.010377289,6.59042661
137,1853,0.007597438,7.040271236
1900,729,0.002988954,8.386143398
67,604,0.002476445,8.657513663
19308,590,0.002419044,8.691347258
3544,573,0.002349343,8.733527074
3702,337,0.001381725,9.499313621
161,203,0.000832315,10.23058249
1947,172,0.000705213,10.46965365
0,144,0.000590411,10.7259934
19309,130,0.00053301,10.87355059
427,116,0.000475609,11.03793741
5228,108,0.000442808,11.1410309
2048,94,0.000385407,11.34132955
68,79,0.000323906,11.59213765
17500,60,0.000246004,11.98902781
9995,50,0.000205004,12.25206221
2869,41,0.000168103,12.5383664
520,29,0.000118902,13.03793741
27036,28,0.000114802,13.08856348
57621,21,8.61E-05,13.50360098
2,19,7.79E-05,13.64799089
5353,17,6.97E-05,13.80845556
139,17,6.97E-05,13.80845556
123,14,5.74E-05,14.08856348
